file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)	sample
L3B910M_mrna_rev.fq.gz	FASTQ	DNA	62751970	8681207432	75	138.3	151	128.0	151.0	151.0	0	151	97.71	93.72	L3-B-9-10-M_mrna_rev.fq.gz
SAA23F_mrna_fwd.fq.gz	FASTQ	DNA	75401794	10439609572	75	138.5	151	128.0	151.0	151.0	0	151	98.31	94.99	SA-A-2-3-F_mrna_fwd.fq.gz
SAA23F_mrna_rev.fq.gz	FASTQ	DNA	75401794	10450007899	75	138.6	151	129.0	151.0	151.0	0	151	96.93	92.85	SA-A-2-3-F_mrna_rev.fq.gz
SAA23M_mrna_fwd.fq.gz	FASTQ	DNA	69157772	9682030715	75	140.0	151	133.0	151.0	151.0	0	151	98.36	95.05	SA-A-2-3-M_mrna_fwd.fq.gz
SAA23M_mrna_rev.fq.gz	FASTQ	DNA	69157772	9686827783	75	140.1	151	134.0	151.0	151.0	0	151	97.16	92.45	SA-A-2-3-M_mrna_rev.fq.gz
SAA45F_mrna_fwd.fq.gz	FASTQ	DNA	88838712	12370285751	75	139.2	151	130.0	151.0	151.0	0	151	98.30	94.97	SA-A-4-5-F_mrna_fwd.fq.gz
SAA45F_mrna_rev.fq.gz	FASTQ	DNA	88838712	12373707029	75	139.3	151	131.0	151.0	151.0	0	151	97.70	93.86	SA-A-4-5-F_mrna_rev.fq.gz
SAA45M_mrna_fwd.fq.gz	FASTQ	DNA	82596754	11436735700	75	138.5	151	128.0	151.0	151.0	0	151	98.29	94.92	SA-A-4-5-M_mrna_fwd.fq.gz
SAA45M_mrna_rev.fq.gz	FASTQ	DNA	82596754	11439123405	75	138.5	151	128.0	151.0	151.0	0	151	97.74	93.69	SA-A-4-5-M_mrna_rev.fq.gz
SAA68F_mrna_fwd.fq.gz	FASTQ	DNA	86747042	12183427199	75	140.4	151	135.0	151.0	151.0	0	151	98.16	94.56	SA-A-6-8-F_mrna_fwd.fq.gz
SAA68F_mrna_rev.fq.gz	FASTQ	DNA	86747042	12186367658	75	140.5	151	135.0	151.0	151.0	0	151	97.19	92.53	SA-A-6-8-F_mrna_rev.fq.gz
SAA68M_mrna_fwd.fq.gz	FASTQ	DNA	61134044	8434924880	75	138.0	151	127.0	151.0	151.0	0	151	98.32	95.05	SA-A-6-8-M_mrna_fwd.fq.gz
SAA68M_mrna_rev.fq.gz	FASTQ	DNA	61134044	8439370210	75	138.0	151	127.0	151.0	151.0	0	151	97.76	93.99	SA-A-6-8-M_mrna_rev.fq.gz
SAB34F_mrna_fwd.fq.gz	FASTQ	DNA	64808683	8991921870	75	138.7	151	129.0	151.0	151.0	0	151	98.18	94.65	SA-B-3-4-F_mrna_fwd.fq.gz
SAB34F_mrna_rev.fq.gz	FASTQ	DNA	64808683	8992713176	75	138.8	151	129.0	151.0	151.0	0	151	97.70	93.72	SA-B-3-4-F_mrna_rev.fq.gz
SAB34M_mrna_fwd.fq.gz	FASTQ	DNA	105256486	14640847576	75	139.1	151	130.0	151.0	151.0	0	151	98.34	95.03	SA-B-3-4-M_mrna_fwd.fq.gz
SAB34M_mrna_rev.fq.gz	FASTQ	DNA	105256486	14646163396	75	139.1	151	130.0	151.0	151.0	0	151	97.38	92.87	SA-B-3-4-M_mrna_rev.fq.gz
SAB57F_mrna_fwd.fq.gz	FASTQ	DNA	19989679	2763202083	75	138.2	151	127.0	151.0	151.0	0	151	98.21	94.76	SA-B-5-7-F_mrna_fwd.fq.gz
SAB57F_mrna_rev.fq.gz	FASTQ	DNA	19989679	2764080516	75	138.3	151	128.0	151.0	151.0	0	151	97.52	93.47	SA-B-5-7-F_mrna_rev.fq.gz
SAB57M_mrna_fwd.fq.gz	FASTQ	DNA	44352444	6198790978	75	139.8	151	132.0	151.0	151.0	0	151	98.31	94.96	SA-B-5-7-M_mrna_fwd.fq.gz
SAB57M_mrna_rev.fq.gz	FASTQ	DNA	44352444	6201482756	75	139.8	151	132.0	151.0	151.0	0	151	97.53	93.44	SA-B-5-7-M_mrna_rev.fq.gz
SAB98F_mrna_fwd.fq.gz	FASTQ	DNA	19315929	2685478992	75	139.0	151	130.0	151.0	151.0	0	151	98.31	94.96	SA-B-9-8-F_mrna_fwd.fq.gz
SAB98F_mrna_rev.fq.gz	FASTQ	DNA	19315929	2686562594	75	139.1	151	130.0	151.0	151.0	0	151	97.12	92.26	SA-B-9-8-F_mrna_rev.fq.gz
SAB98M_mrna_fwd.fq.gz	FASTQ	DNA	90050854	12538846024	75	139.2	151	131.0	151.0	151.0	0	151	98.25	94.88	SA-B-9-8-M_mrna_fwd.fq.gz
SAB98M_mrna_rev.fq.gz	FASTQ	DNA	90050854	12546067218	75	139.3	151	131.0	151.0	151.0	0	151	97.51	93.44	SA-B-9-8-M_mrna_rev.fq.gz
