logFC	logCPM	F	PValue	FDR	transcript	sel_line
-1.38110866695071	3.98323118181242	40.3644699867303	0.00140243457166847	0.00540791067616928	cmac_gs1_g8989.t1	L2
-0.864170832630668	7.02105841181049	24.2051201553522	0.00434182267896893	0.0120569763617765	cmac_gs1_g899.t1	L2
-1.20410137237677	5.78491593024417	34.5995713201711	0.00198509365725154	0.00687497448083863	cmac_gs1_g8991.t1	L2
-0.654832999817046	5.79208302203761	22.91414067382	0.00487973412029341	0.013140368885662	cmac_gs1_g8992.t1	L2
-3.19033475236324	1.65253090598014	38.693822357963	0.00157954811559767	0.00585108873949021	cmac_gs1_g8993.t1	L2
-2.93823996683107	0.122086993303571	23.6359537774352	0.00421232428307509	0.0118002395921093	cmac_gs1_g8994.t1	L2
1.10500244394254	4.74962405172315	82.3287736836286	0.000265340796932515	0.00179226855490644	cmac_gs1_g8998.t1	L2
-0.470790824042654	4.8524416060801	11.2920263958289	0.0199549983273729	0.0389098425217112	cmac_gs1_g8999.t1	L2
1.191496534702	3.9306799174562	89.8948769102537	0.000215036690785508	0.00157558863704197	cmac_gs1_g9.t1	L2
1.040304195891	1.83541269806598	10.1958279131325	0.024064907352544	0.0452394541286528	cmac_gs1_g90.t1	L2
-0.835009189915768	6.59026911153501	19.4920492493676	0.00684796507433605	0.0169512797129175	cmac_gs1_g900.t1	L2
0.47943128130022	4.95328560663623	20.4976434897501	0.0061690320870561	0.015690651468948	cmac_gs1_g9003.t1	L2
-0.80767305906374	7.83554378794774	71.9563632226043	0.000365525932337952	0.00221726824923442	cmac_gs1_g9004.t1	L2
-3.27528717046827	2.71945259050605	264.038561305002	1.5602410644006e-05	0.000306072016803143	cmac_gs1_g9005.t1	L2
-0.718467511411796	12.2142685985452	11.3666659696166	0.0197140032271648	0.038514175305219	cmac_gs1_g9007.t1	L2
0.452578563578571	5.09098519646522	10.0095690756398	0.0248260351706925	0.0463740250695392	cmac_gs1_g9009.t1	L2
-1.54233276814774	2.59866184346671	30.7667169360558	0.00257845361134474	0.00824046075158041	cmac_gs1_g901.t1	L2
1.27941695833567	2.52999704817291	31.749578417328	0.00240700837266652	0.00784434625518223	cmac_gs1_g9010.t1	L2
1.40975864976184	0.756041402995414	17.8395644177431	0.00829349046656692	0.0195715733028462	cmac_gs1_g9012.t1	L2
0.528703388457304	5.2940014523234	22.3346724671604	0.00515177604189085	0.0136862021441171	cmac_gs1_g9029.t1	L2
-0.847626898815109	8.92004438014597	60.401654083076	0.000552378254325104	0.00290155458227766	cmac_gs1_g903.t1	L2
0.719961738996222	4.51245983250445	35.9739634432971	0.00181919878197513	0.00644384177883247	cmac_gs1_g9030.t1	L2
1.23462670791304	3.77302448379086	95.717160942797	0.000184981046258199	0.00143722191677517	cmac_gs1_g9031.t1	L2
1.08689482647247	3.91249792621671	60.9409984152504	0.000541092228982807	0.00286364834331516	cmac_gs1_g9032.t1	L2
2.44343655076952	3.47174583700653	245.071421749734	1.87062660616305e-05	0.000339527161656056	cmac_gs1_g904.t1	L2
1.05132832577047	1.98715263731996	23.2808970559164	0.00473115671578674	0.0128320831721623	cmac_gs1_g905.t1	L2
0.681739453483896	3.34119978366503	22.9286023580736	0.00487412074503087	0.0131318079136973	cmac_gs1_g9052.t1	L2
-6.44782554515348	-0.0721790189997226	63.6769087329025	0.00023966306495575	0.00169665817511805	cmac_gs1_g9055.t1	L2
-7.38472553988887	-0.809359718842417	44.0828087303414	0.0067925608274524	0.0168377419598658	cmac_gs1_g9056.t1	L2
0.902137299406219	3.7449305903564	37.1417155172323	0.00169324412148034	0.00613601944962783	cmac_gs1_g906.t1	L2
-0.834301448641041	6.41766007937971	15.7721792744238	0.0105208173798011	0.0234659465924341	cmac_gs1_g9061.t1	L2
1.90168646524452	5.67061864243278	382.691551696452	6.17870966505734e-06	0.000168965417475848	cmac_gs1_g907.t1	L2
1.78924755665952	3.79241267094991	70.4045446404321	0.000385111592545209	0.00229665367894539	cmac_gs1_g9070.t1	L2
1.7493334862971	2.59707910452844	100.505786603175	0.000164964037797334	0.00134973609085544	cmac_gs1_g9072.t1	L2
1.53454272055224	3.21547045978694	106.455226077458	0.00014323652507829	0.00123108864676954	cmac_gs1_g9074.t1	L2
1.5184011347256	5.07366865262029	171.98427057979	4.45347197634786e-05	0.000590668518200157	cmac_gs1_g9075.t1	L2
0.916384770224682	3.66858382055371	49.4173956908027	0.000881933569420434	0.00390832773480293	cmac_gs1_g9078.t1	L2
0.561967765082032	5.16925857682725	14.2088896842647	0.012916618286983	0.0276255517849256	cmac_gs1_g908.t1	L2
0.987985244122317	3.57428865346454	47.3928888959303	0.000971389659544785	0.00417444775625937	cmac_gs1_g9080.t2	L2
-1.10270840923647	1.81847431807923	21.2185803751312	0.00574674135626876	0.014871324290031	cmac_gs1_g9081.t1	L2
-1.16233869776159	0.437328841763384	15.1579426126922	0.0114529627889659	0.0250479391590034	cmac_gs1_g9083.t1	L2
4.60861326380442	3.27868375092956	42.3075453657865	0.00126816426536794	0.00504398389548164	cmac_gs1_g909.t1	L2
0.692348611997201	5.84145766258251	27.5923232943157	0.00327238822064696	0.00982384176645341	cmac_gs1_g9097.t1	L2
-1.22996096464344	2.37678820473942	18.5092857946213	0.00762062069123502	0.0183830861927184	cmac_gs1_g9099.t1	L2
-1.52567010824678	1.84638434488197	26.0062119922737	0.00372436178236939	0.0108039202519925	cmac_gs1_g9102.t1	L2
-1.27545773074062	3.29738238746371	53.4114440441933	0.00073643098574647	0.00349103663541912	cmac_gs1_g9105.t1	L2
-12.1292098976814	3.76956367857858	898.099074286543	7.69408513478298e-05	0.000826284497819029	cmac_gs1_g9110.t1	L2
-11.5918553731248	3.21511318241644	635.787531747205	0.000129485610219239	0.00115016197353906	cmac_gs1_g9111.t1	L2
-3.13017677495204	1.03207616332152	71.951817231395	0.000382500324086843	0.00228680651829386	cmac_gs1_g9122.t1	L2
-5.44308971895895	-0.321495530203999	65.428064739456	0.000170152935978355	0.00137207529440643	cmac_gs1_g9123.t1	L2
0.953191418561887	2.13781392043478	22.5403870435153	0.00506030996343675	0.0135008335720838	cmac_gs1_g9126.t1	L2
0.85823472178007	3.02906759487628	24.4115298036578	0.00426513249178801	0.0119052956617967	cmac_gs1_g9128.t1	L2
