logFC	logCPM	F	PValue	FDR	transcript	sel_line
2.63054847029429	3.62846684830136	195.233777307261	2.65003263035192e-05	0.000425127894778526	cmac_gs1_g356.t1	C
4.21052436983098	6.47234687390509	165.803106255786	3.99905378213793e-05	0.000552402168796755	cmac_gs1_g3560.t1	C
0.393129253601213	5.67406159744409	12.3829819510996	0.0160312560140646	0.0317833850818233	cmac_gs1_g3564.t1	C
-0.430615068911588	7.61119225759215	19.8389283167038	0.00616951580620603	0.0150251609142167	cmac_gs1_g357.t1	C
0.463849807963824	4.21569895744633	12.0639883174348	0.0168540120328788	0.0330882418533115	cmac_gs1_g3574.t1	C
3.50956804965411	-0.59831177666606	58.6930713480006	9.2972352681769e-05	0.000914171991979013	cmac_gs1_g3585.t1	C
1.42618718858441	2.9081681077678	46.3866098864057	0.000910497042543228	0.00372523692390702	cmac_gs1_g3587.t1	C
-1.13541306289321	4.81766856552653	49.1523654511988	0.000793602476639751	0.00339879777146898	cmac_gs1_g3589.t1	C
-0.370184538606917	8.27448269762254	18.4537607836229	0.00718639293161739	0.0169245062345279	cmac_gs1_g359.t1	C
-0.97389960172616	6.94098379572697	76.6847363789527	0.000271644697149	0.00172108583800668	cmac_gs1_g3597.t1	C
3.1471891959347	3.30456751730338	267.216607767784	1.19816417359378e-05	0.000266627541896036	cmac_gs1_g360.t1	C
-1.82016991013729	0.569701278523709	32.2580891532701	0.00215432986980825	0.00677592298050759	cmac_gs1_g3601.t1	C
-0.808777950886633	4.02216498127161	48.1663669285135	0.000832705341008827	0.00350251169287402	cmac_gs1_g361.t1	C
2.06062828313185	4.65129920889019	316.423070803347	7.77210093297657e-06	0.000210570914295603	cmac_gs1_g3611.t1	C
1.97216695404366	4.01084362789655	191.066854199693	2.7969720374562e-05	0.000441737106555764	cmac_gs1_g3612.t1	C
0.897427426744891	4.99648130077849	48.463100750311	0.000820607173001418	0.00346523511358457	cmac_gs1_g3616.t1	C
0.762822152388784	4.25601047565634	41.3681643018189	0.00119107633835511	0.00447301190552843	cmac_gs1_g3617.t1	C
7.22005578474981	8.44129430607267	1403.71423342187	1.70125144635795e-07	1.84862229309515e-05	cmac_gs1_g362.t1	C
0.650871302152839	5.24004797628074	16.6846999555223	0.00885726620499491	0.019900775334424	cmac_gs1_g3621.t1	C
7.65270660071555	5.10192688901643	164.696199963617	4.36550375942523e-05	0.000582516988159801	cmac_gs1_g3623.t1	C
4.19104532422299	8.673958572926	768.890082112854	7.99921042638316e-07	4.8241164212147e-05	cmac_gs1_g3625.t1	C
-1.59011320760026	6.2184370649116	198.399196989913	2.54238116018648e-05	0.000411916342600163	cmac_gs1_g3626.t1	C
4.16819196679995	4.36805763986563	44.4110238215519	0.00100982046753183	0.0039871257693552	cmac_gs1_g363.t1	C
-0.512758725270313	6.61574249500696	15.0297905648322	0.0109519898707927	0.0235492448200553	cmac_gs1_g3633.t1	C
-1.11453393496608	1.24856862179477	15.8634697954952	0.00983673503509553	0.0216535834225308	cmac_gs1_g3636.t1	C
-0.5849660315613	5.37496411107409	17.2167296191731	0.00830248819760204	0.0189598333062758	cmac_gs1_g3637.t1	C
-1.55361162253089	10.0842773098294	207.374796526838	2.27314213449892e-05	0.000387576684565926	cmac_gs1_g3639.t1	C
-1.92051638116312	5.60968029722035	61.0321366953584	0.000472851990896929	0.0024342235117846	cmac_gs1_g3641.t1	C
-0.850721358286713	9.12446852955237	55.1867997546188	0.000602196262670281	0.00283607486891316	cmac_gs1_g3643.t1	C
-1.76778595928182	-0.793100139870584	13.0385308299981	0.0118767174512006	0.0250795733702373	cmac_gs1_g3644.t1	C
1.41936647679566	2.85296911630972	62.2065554359613	0.000451790774659921	0.00235762681969593	cmac_gs1_g365.t1	C
-0.531872245308238	7.35093906811332	20.0443351881823	0.00603603786439079	0.014768565671807	cmac_gs1_g3654.t1	C
13.4470532093183	9.90109468676818	375.097076230122	1.94873882385278e-06	8.599272159565e-05	cmac_gs1_g3664.t1	C
-0.60448851536475	5.6274436522736	27.6126490855517	0.00300195946961545	0.00867451748779917	cmac_gs1_g3665.t1	C
1.49975905110121	1.84395410844522	17.3312989718876	0.00821701480786323	0.0187997263055272	cmac_gs1_g3667.t1	C
-10.3360005013528	4.71770778830735	335.295592822033	7.42257603546745e-07	4.61304601471437e-05	cmac_gs1_g3668.t1	C
-0.613250478791458	4.57102831339639	27.2986877736914	0.0030795800021428	0.00884544032014308	cmac_gs1_g367.t1	C
1.74738944695994	2.19907969389976	9.65034636950568	0.0255468882038091	0.0463384182491504	cmac_gs1_g3672.t1	C
1.10437036408173	3.88456250080944	46.735643149877	0.0008942710258163	0.003673414508922	cmac_gs1_g3674.t1	C
1.29780004403902	1.71930365152914	33.1424097352619	0.00199036972967462	0.00640224405720366	cmac_gs1_g3676.t1	C
-6.16167513338505	-0.121297057542354	72.1928564324393	0.000372171306454735	0.00208035200240386	cmac_gs1_g3685.t1	C
-8.76925893599241	0.405239479239498	87.7364583469914	0.00205458385921947	0.00654180464991604	cmac_gs1_g3686.t1	C
-2.36561808557031	-0.969550725181907	22.8488487530138	0.0024303537826545	0.00740244119771104	cmac_gs1_g3693.t1	C
3.95368940379088	4.02823742705469	310.711689568091	8.16357351106484e-06	0.000215848030193956	cmac_gs1_g3695.t1	C
3.86755509452968	4.23908335449275	201.463791284913	2.44974573733486e-05	0.000400494074709072	cmac_gs1_g3695.t2	C
-0.617264864466554	5.95079585725843	44.261331588364	0.00101648147744486	0.00400375037972767	cmac_gs1_g370.t1	C
-13.3095110270111	4.93547956612595	1497.34923546971	2.39271599287807e-05	0.000396654925238286	cmac_gs1_g3704.t1	C
-2.01864122466648	4.63277653474616	10.0894885421934	0.023526259634386	0.0434082816574172	cmac_gs1_g3705.t1	C
0.380301611942573	5.60488357086796	10.5349487387604	0.0217349961963967	0.0407637575519381	cmac_gs1_g3706.t1	C
1.06293364753487	5.57048798362509	117.344147470212	9.50392156614264e-05	0.000926660807553896	cmac_gs1_g3707.t1	C
5.35133355893801	3.98527106572483	616.446982031556	1.4771384190963e-06	7.20127092160033e-05	cmac_gs1_g3708.t1	C
4.73100643078772	3.14498284794528	196.212642696317	2.72826423024871e-05	0.000434255390626978	cmac_gs1_g3708.t2	C
1.35745706485364	4.10762384303887	27.569497383618	0.00301267281108835	0.00869807672788954	cmac_gs1_g3709.t2	C
