logFC	logCPM	F	PValue	FDR	transcript	sel_line
-0.809760659381693	-0.906555071982195	0.175709910183934	0.681176896326996	0.999987989117835	cmac_gs1_g25903.t1	SA
0.307157583361992	4.50223239403344	0.0495647701475119	0.828126386181639	0.999987989117835	cmac_gs1_g25908.t1	SA
0.0698017123441209	7.26640832418113	0.0069097253039685	0.935327642811837	0.999987989117835	cmac_gs1_g25909.t1	SA
0.51983026329131	1.62942969473781	0.953582847820287	0.351054051932846	0.999987989117835	cmac_gs1_g2591.t1	SA
0.548965790043236	1.47917899019305	0.597171807208906	0.456980305126973	0.999987989117835	cmac_gs1_g25910.t1	SA
0.365407389215332	7.04793896866363	0.189769607023966	0.671994690818436	0.999987989117835	cmac_gs1_g25911.t1	SA
-1.74233053158614	-0.392217488959877	1.71521351674448	0.211970918342031	0.999987989117835	cmac_gs1_g25912.t1	SA
0.0873128310493017	4.62726179190899	0.0397823207405577	0.84574587849949	0.999987989117835	cmac_gs1_g25914.t2	SA
0.147590808388547	3.46583194001169	0.0621320835856454	0.808007068802563	0.999987989117835	cmac_gs1_g25915.t1	SA
1.74020918581617	2.74131028087026	1.18640777630685	0.294602611500661	0.999987989117835	cmac_gs1_g25916.t1	SA
0.359193076444745	5.24292979866533	0.424808569149348	0.52866170606729	0.999987989117835	cmac_gs1_g25917.t1	SA
0.617540726693109	4.41952018277811	0.890933991473331	0.366598750870898	0.999987989117835	cmac_gs1_g25919.t1	SA
0.0885718722649932	9.32389401869468	0.106343046730853	0.75080175946613	0.999987989117835	cmac_gs1_g2592.t1	SA
0.377883577869204	4.45209814768588	0.261141503729988	0.619991391905824	0.999987989117835	cmac_gs1_g25920.t1	SA
-2.14984900011031	3.34715544401429	0.217241297002838	0.654801342261944	0.999987989117835	cmac_gs1_g25924.t1	SA
1.20905333435188	4.53899293914496	1.79793568460893	0.208474566958296	0.999987989117835	cmac_gs1_g25925.t1	SA
1.07838035157743	3.79549563133689	0.772878728555766	0.399157083157574	0.999987989117835	cmac_gs1_g25929.t1	SA
0.356925442534667	3.17943548480696	2.59719465534494	0.136917663959112	0.999987989117835	cmac_gs1_g2593.t1	SA
0.217759155026411	4.77890773176378	1.54916494889893	0.240528238927324	0.999987989117835	cmac_gs1_g2593.t2	SA
1.06319739620297	2.92221371867222	0.866979274962988	0.372889241261885	0.999987989117835	cmac_gs1_g25930.t1	SA
1.90174466762133	1.65010009823263	0.401385919045724	0.540174012311234	0.999987989117835	cmac_gs1_g25931.t1	SA
0.0237106000102821	2.01196656660728	0.000188519373802569	0.989305626101931	0.999987989117835	cmac_gs1_g25931.t2	SA
-0.138355207327288	5.11316743923381	0.329902498656452	0.577905734189604	0.999987989117835	cmac_gs1_g25932.t1	SA
0.194588477117144	9.91055367605263	0.712491160308983	0.417575796834607	0.999987989117835	cmac_gs1_g25933.t1	SA
0.675135328642968	5.03971598522715	12.2504124122437	0.00538458274482792	0.719511705702001	cmac_gs1_g25940.t1	SA
0.348733325530574	3.81720828305231	1.26453566094063	0.286038920137194	0.999987989117835	cmac_gs1_g25941.t1	SA
-0.0473327007216416	4.03189777998482	0.0908666512922028	0.769009618504484	0.999987989117835	cmac_gs1_g25942.t1	SA
0.30596025369794	1.64761163329296	0.657446964208929	0.435681347703372	0.999987989117835	cmac_gs1_g25943.t1	SA
-0.436330317399318	6.24815373842081	1.82997598896525	0.204754465395381	0.999987989117835	cmac_gs1_g25944.t1	SA
-0.0314221364374336	5.00473851722654	0.00872986125735309	0.927331391719789	0.999987989117835	cmac_gs1_g25946.t1	SA
0.354121033306723	3.3985546546477	0.311151806997832	0.588762763406676	0.999987989117835	cmac_gs1_g25947.t1	SA
0.128235363030302	4.64342047638149	0.597875601213139	0.45657394013728	0.999987989117835	cmac_gs1_g25948.t1	SA
